hipotesis,endpoint,effect_sebelum,p_one_sided_sebelum,p_fdr_sebelum,effect_pose_datar,p_one_sided_pose_datar,p_fdr_pose_datar,effect_reklasifikasi,p_one_sided_reklasifikasi,p_fdr_reklasifikasi
H1,mu_periodic_contra_abs_TAHAN,-0.1238286163669441,0.3517446644279878,0.3788019463070637,-0.1370173940879963,0.33546221815026,0.39137258784197,0.043502533793133,0.5532753576906362,0.5958350005899159
H2,global_offset_TAHAN,-0.4177237008220379,0.1025880975412049,0.1455051282792315,-0.4304492288206379,0.0976232869739158,0.1442348405690625,-0.5172492099123126,0.0636242839086239,0.0890739974720734
H3,hold_agem_sec,0.7333788317994228,0.0161820247234158,0.0453096692255642,1.3740851574747486,5.945253469389252e-05,0.0008323354857144,1.5289741041296971,1.1001164540941028e-05,0.0001540163035731
H4,mu_relative_FCP_left_TURUN,0.4526568124455408,0.0884785954136644,0.1455051282792315,0.41014037816146,0.1133273747328348,0.1442348405690625,0.367911653525462,0.1383172340599301,0.1760401160762746
H5,mu_relative_right_minus_left_TAHAN,-0.2135821057619893,0.2700757787969186,0.3150884085964051,-0.0965587624616609,0.3891457623730116,0.4190800517863202,-0.1302724146829489,0.351339633807173,0.4098962394417019
H6,dur_turun_sec,0.8498397870883005,0.0083375827186353,0.0389087193536315,1.052017681667294,0.0020092333468989,0.0093764222855285,1.068533374016264,0.0022015550089896,0.0077790320760132
H7,cv_tahan,-1.2594953941392826,0.0002725560010822,0.0038157840151511,-0.8822290758521256,0.0052966499131777,0.0185382746961221,-0.9835937730701187,0.0022225805931466,0.0077790320760132
H8,dur_naik_sec,-0.5419730744478456,0.0646498430876254,0.1292996861752508,-0.5325993123864544,0.0692653540991021,0.1212143696734288,-0.5861998414074248,0.0540540419320292,0.0890739974720734
H9,mu_periodic_central_TURUN,-0.1219917522284457,0.6425451371688968,0.6425451371688968,-0.3367352064265973,0.8475001524797273,0.8475001524797273,-0.3700078250996983,0.8688606775850779,0.8688606775850779
H10a,offset_central_TURUN,-0.4143499488815503,0.1039322344851653,0.1455051282792315,-0.5013708883099997,0.0654644638713721,0.1212143696734288,-0.5074719280543342,0.0633296051770601,0.0890739974720734
H10b,offset_central_TAHAN,-0.540628832523053,0.0560792133337469,0.1292996861752508,-0.5457750277663995,0.0546328881404378,0.1212143696734288,-0.6316873553711903,0.0346412272038511,0.0808295301423192
H11,mu_periodic_posterior_TAHAN,-0.7010618615186437,0.0158761320342539,0.0453096692255642,-0.4788102625750147,0.0680318730736366,0.1212143696734288,-0.5977154570842285,0.0326701496797481,0.0808295301423192
H12,demand_minus_naik_offset_central,-0.8709088327732175,0.0044686435716243,0.0312805050013704,-1.1460749592461956,0.0003640185930713,0.0025481301514991,-1.239908560632486,0.0001834953207729,0.0012844672454106
H13,offset_central_TAHAN ~ cv_tahan,0.1857180947002371,0.135554125757583,0.1725234327823784,0.2124491488335416,0.1034036879550485,0.1442348405690625,0.2652274384895535,0.0563124233469955,0.0890739974720734
