participant_id,task,rep,phase,channel,area,hemisphere,t0_video,t1_video,dur_phase_sec,win_sec,compliance,phase_source,flat_frac,valid,salvaged,is_simulated,theta_db,mu_db,beta_db,broad_db
P06,NGEED,1,PRA,Fp1,frontopolar,kiri,0.001,2.001,2.0,2.0,ok,video,0.0,True,False,False,1.0701033874624244,0.7340553593355423,1.0516457541661417,2.378351664260464
P06,NGEED,1,PRA,F3,frontal,kiri,0.001,2.001,2.0,2.0,ok,video,0.0,True,False,False,-13.00064103038428,-14.57764140337721,-11.279301146421911,-15.080321515707382
P06,NGEED,1,PRA,C3,sentral,kiri,0.001,2.001,2.0,2.0,ok,video,0.2,False,False,False,,,,
P06,NGEED,1,PRA,P3,parietal,kiri,0.001,2.001,2.0,2.0,ok,video,0.0,True,False,False,-5.8284056656812915,-7.538513020998451,-4.555408389951303,-5.918238345045474
P06,NGEED,1,PRA,O1,oksipital,kiri,0.001,2.001,2.0,2.0,ok,video,0.0,True,False,False,-5.032022309336092,-3.5523578197341834,-3.4671269157353244,-3.7851053236418295
P06,NGEED,1,PRA,F7,frontotemporal,kiri,0.001,2.001,2.0,2.0,ok,video,0.0,True,False,False,-3.766718082156686,-4.434680379885627,-1.3646368285948753,-3.076090361008969
P06,NGEED,1,PRA,T3,temporal,kiri,0.001,2.001,2.0,2.0,ok,video,0.0,True,False,False,-3.8117130214354944,-5.464070073202876,-1.1814730944969796,-3.197675660905169
P06,NGEED,1,PRA,T5,temporo-posterior,kiri,0.001,2.001,2.0,2.0,ok,video,0.0,True,False,False,-5.537996465323545,-6.582438698430927,-3.8601062844672214,-5.309545518906919
P06,NGEED,1,PRA,Fp2,frontopolar,kanan,0.001,2.001,2.0,2.0,ok,video,0.0,True,False,False,2.496235861680969,-1.3986305506690115,1.6234846962644838,2.0650849419098662
P06,NGEED,1,PRA,F4,frontal,kanan,0.001,2.001,2.0,2.0,ok,video,0.0,True,False,False,-6.221880586893267,-3.140317818264016,-0.321377841704372,-4.158183346316868
P06,NGEED,1,PRA,C4,sentral,kanan,0.001,2.001,2.0,2.0,ok,video,0.0,True,False,False,-2.21081394308915,-0.6984795824752865,0.5626135845542528,-1.3726562938550835
P06,NGEED,1,PRA,P4,parietal,kanan,0.001,2.001,2.0,2.0,ok,video,0.0,True,False,False,-2.5242843361253122,-1.8952799824615951,1.9292356216402595,-1.3390580155305543
P06,NGEED,1,PRA,O2,oksipital,kanan,0.001,2.001,2.0,2.0,ok,video,0.0,True,False,False,0.09495032820570515,0.4731818779058088,2.962714693716773,1.0394470142558419
