prediktor,sampel,outcome,n,slope,se,beta_std,p,slope_usia,p_usia,r_prediktor_usia,vif,r2,p_fdr,is_simulated
dance_years,semua,cv_tahan,38,-0.0031591021565636705,0.0014816369351260978,-0.324729596385751,0.03299285529279201,0.0026325942226391045,0.18603070482952389,0.48550442138208555,1.3084116557219105,0.0922746425887897,0.0978970194120476,False
dance_years,semua,dur_naik_sec,38,-0.013022816833745083,0.007148345621363503,-0.2471530612858824,0.06848617055310745,0.0024652226499496336,0.7818590063861575,0.48550442138208555,1.3084116557219105,0.052169498900948685,0.11638344809812548,False
dance_years,semua,dur_turun_sec,38,0.010184540338828606,0.0036726517683433094,0.5228136478221853,0.005552924975730744,-0.0012362692041461179,0.8025626536088732,0.48550442138208555,1.3084116557219105,0.24558062314538953,0.038870474830115215,False
dance_years,semua,offset_central_TURUN,38,-0.11816714331962733,0.06819429306133948,-0.317039276272603,0.08313103435580392,0.10100236112987296,0.20148735997945688,0.48550442138208555,1.3084116557219105,0.08940667481875042,0.11638344809812548,False
dance_years,semua,offset_central_TAHAN,38,-0.1123062204299886,0.05521561393828917,-0.3519517187493233,0.04195586546230611,0.12465253057369605,0.02685961963286047,0.48550442138208555,1.3084116557219105,0.13992909033266576,0.0978970194120476,False
dance_years,semua,mu_periodic_central_TURUN,38,-0.003645358549357723,0.01314375658343711,-0.056153511327362286,0.781515011803594,-0.01845929157324475,0.17186902850166597,0.48550442138208555,1.3084116557219105,0.0963479590528421,0.781515011803594,False
dance_years,semua,mu_periodic_posterior_TAHAN,38,-0.018003888173681593,0.013862257867068538,-0.2521836712086867,0.19402278576331644,0.012398849452602452,0.37058596287956014,0.48550442138208555,1.3084116557219105,0.050920554512933425,0.22635991672386918,False
dance_years,penari,cv_tahan,23,0.001423052206084712,0.0021435239007301017,0.13003506914579177,0.5067642634264237,0.0013512662197708266,0.2310329427882184,0.7659469185870603,2.419401756136882,0.08077211231904358,0.9197943146425429,False
dance_years,penari,dur_naik_sec,23,-0.0025353135848962833,0.024422673985381924,-0.05934281919975563,0.9173202670226928,0.0013145370829586462,0.9509868025157617,0.7659469185870603,2.419401756136882,0.0014622380756966757,0.9197943146425429,False
dance_years,penari,dur_turun_sec,23,0.001375595718654088,0.013661309491907393,0.07299631807531878,0.9197943146425429,0.004079822955548377,0.7332835044904077,0.7659469185870603,2.419401756136882,0.13003915227945473,0.9197943146425429,False
dance_years,penari,offset_central_TURUN,23,-0.04733167422076935,0.298199308666087,-0.10522963514941622,0.8738855699079575,0.04659631295465048,0.8641311209170475,0.7659469185870603,2.419401756136882,0.008638600300372334,0.9197943146425429,False
dance_years,penari,offset_central_TAHAN,23,-0.06624549779518218,0.3935416737612717,-0.18717171090414686,0.8663224189693858,0.0946167422959691,0.7955720592410856,0.7659469185870603,2.419401756136882,0.06696420834026207,0.9197943146425429,False
dance_years,penari,mu_periodic_central_TURUN,23,0.02022731403568085,0.04917032081674271,0.2530124339244288,0.6807994715545962,-0.028130069997096163,0.5202339067234565,0.7659469185870603,2.419401756136882,0.11433313574318871,0.9197943146425429,False
dance_years,penari,mu_periodic_posterior_TAHAN,23,-0.00615315347708475,0.03709193821175541,-0.06536707397503948,0.8682441146190714,0.00710509064786766,0.8023029745803121,0.7659469185870603,2.419401756136882,0.004801383285671368,0.9197943146425429,False
activity_per_month,semua,cv_tahan,38,-0.016388140415351773,0.003444679856289893,-0.6352655573564226,1.959838424131552e-06,-0.0014151657712711133,0.39133258592546205,-0.39499801409330865,1.1848670175144471,0.35227841715083863,1.3718868968920866e-05,False
activity_per_month,semua,dur_naik_sec,38,-0.04436265269527553,0.030365450716652646,-0.3175016594035964,0.14402692682797566,-0.010702602231833098,0.43758956143896865,-0.39499801409330865,1.1848670175144471,0.09056240251138314,0.2520471219489574,False
activity_per_month,semua,dur_turun_sec,38,0.02650349302465712,0.008417075955860465,0.5130693004308504,0.0016395539968392986,0.007819277198042561,0.017482262385487477,-0.39499801409330865,1.1848670175144471,0.25884382008359164,0.005738438988937545,False
activity_per_month,semua,offset_central_TURUN,38,-0.2460650680611453,0.3135230025238724,-0.2489623796286492,0.43254799264512,0.005254858852697282,0.9212838205799522,-0.39499801409330865,1.1848670175144471,0.06489694136345747,0.5046393247526401,False
activity_per_month,semua,offset_central_TAHAN,38,-0.21565322065656797,0.2587687445308346,-0.25486057441988524,0.40462930824114074,0.03641580990726861,0.5495683499250757,-0.39499801409330865,1.1848670175144471,0.10007662148862873,0.5046393247526401,False
activity_per_month,semua,mu_periodic_central_TURUN,38,-0.052860711941454676,0.029833533024794662,-0.3070697996939492,0.07641853374031703,-0.028279913952378076,0.0030935345047899618,-0.39499801409330865,1.1848670175144471,0.17351812334869054,0.17830991206073973,False
activity_per_month,semua,mu_periodic_posterior_TAHAN,38,-0.026688168484559124,0.052673399916684446,-0.14097329706884582,0.6123845589555601,-0.0005506302646499957,0.9685173007625102,-0.39499801409330865,1.1848670175144471,0.019087338386676644,0.6123845589555601,False
activity_per_month,penari,cv_tahan,23,-0.015139670033788787,0.005974726370108343,-0.6417453073601821,0.011278416898558633,-0.0008873677879121407,0.7308183366145813,-0.5993061255382923,1.5604709783671362,0.33770156810015417,0.07894891828991044,False
activity_per_month,penari,dur_naik_sec,23,-0.023198893994824277,0.033312141875808964,-0.25188969651513055,0.48617237909414546,-0.004708389317265728,0.7331694242752458,-0.5993061255382923,1.5604709783671362,0.040666471989139086,0.8508016634147546,False
activity_per_month,penari,dur_turun_sec,23,0.02119867442996213,0.010037615588386884,0.5218257141707197,0.03469302689285402,0.0090660580305556,0.00037529635705596027,-0.5993061255382923,1.5604709783671362,0.30233669350758097,0.12142559412498909,False
activity_per_month,penari,offset_central_TURUN,23,-0.19508116395259614,0.48627190174977114,-0.20119082330365118,0.6882897204164773,-0.01835130259618098,0.7650701321800535,-0.5993061255382923,1.5604709783671362,0.030001177536361667,0.8872562162515497,False
activity_per_month,penari,offset_central_TAHAN,23,-0.114530040580519,0.3997713918449002,-0.15011009112278922,0.7745037431478254,0.03534423487594151,0.724252417806747,-0.5993061255382923,1.5604709783671362,0.06692397593443644,0.8872562162515497,False
activity_per_month,penari,mu_periodic_central_TURUN,23,-0.06240021752186527,0.05906840066833909,-0.36207320198575715,0.29078273003892763,-0.02946123828418075,0.07886673263249286,-0.5993061255382923,1.5604709783671362,0.17188517196070818,0.6784930367574978,False
activity_per_month,penari,mu_periodic_posterior_TAHAN,23,0.012651669844736629,0.08923645667414966,0.062347031318205036,0.8872562162515497,0.006246845330377654,0.7708254194495711,-0.5993061255382923,1.5604709783671362,0.005526316643361673,0.8872562162515497,False
proporsi_hidup_menari,semua,cv_tahan,38,-0.19253978559766485,0.07334178597686349,-0.39850822528601515,0.008658792644544045,0.0011149413759494776,0.5000911211008914,0.011201158575426225,1.0001254816971126,0.17047014845902564,0.03030577425590416,False
proporsi_hidup_menari,semua,dur_naik_sec,38,-0.7198635126301367,0.4737260041451672,-0.27508684744715983,0.12861712438750747,-0.003807982236926432,0.6897851257161369,0.011201158575426225,1.0001254816971126,0.08114667947982945,0.18006397414251046,False
proporsi_hidup_menari,semua,dur_turun_sec,38,0.45729939698188254,0.15902684462209574,0.4726772664624766,0.004032459059824057,0.0036939831925137537,0.3153991433198784,0.011201158575426225,1.0001254816971126,0.260071103903708,0.0282272134187684,False
proporsi_hidup_menari,semua,offset_central_TURUN,38,-5.065072404215796,3.1705636562996236,-0.2736280354279019,0.11014748623855238,0.04374331389194928,0.4765331931016906,0.011201158575426225,1.0001254816971126,0.0874482686248973,0.18006397414251046,False
