phase,ukuran,n_seg,n_partisipan,beda_nonpenari_minus_penari_db,se,p,p_fdr
NAIK,broad_db,373,38,-1.8958024658075654,1.4636880663360339,0.19524330862912243,0.6534233624176318
NAIK,mu_db,373,38,-1.9159175997954818,1.5046425821602891,0.20289835804208145,0.6534233624176318
NAIK,beta_db,373,38,-2.1238980470217785,1.468965299532231,0.14822031579532866,0.6534233624176318
POST,broad_db,392,38,1.6194697531195854,1.5859397628770422,0.3071871513412232,0.6534233624176318
POST,mu_db,392,38,1.3435125020210934,1.5563146085182609,0.38799158113610166,0.6534233624176318
POST,beta_db,392,38,1.100959930334987,1.4121781333684316,0.43561557494508785,0.6534233624176318
PRA,broad_db,408,38,0.6683576801625265,1.5348927737667908,0.6632412040197577,0.7172065653016417
PRA,mu_db,408,38,0.7289757683313774,1.5725226836565704,0.6429552014780886,0.7172065653016417
PRA,beta_db,408,38,-0.007940843518446788,1.3860519619455265,0.9954288569569164,0.9954288569569164
TAHAN,broad_db,362,38,1.4241341124812121,1.288634772502123,0.2690948019980236,0.6534233624176318
TAHAN,mu_db,362,38,1.1032165920715922,1.3278617544960534,0.4060742633389771,0.6534233624176318
TAHAN,beta_db,362,38,0.5182689261255579,1.1961314626435793,0.6648058482173405,0.7172065653016417
TURUN,broad_db,395,38,1.5329364044454816,1.7142201009196365,0.37118968105436645,0.6534233624176318
TURUN,mu_db,395,38,1.3630230967504497,1.7006431103969744,0.4228566570131578,0.6534233624176318
TURUN,beta_db,395,38,0.6843417349858635,1.6027432499720724,0.6693927942815323,0.7172065653016417
