participant_id,fase_ok_sebelum,incomplete_sebelum,hud_fallback_sebelum,n_segmen_sebelum,kanal_segmen_gerak_valid_sebelum,salvaged_sebelum,fase_ok_sesudah,incomplete_sesudah,hud_fallback_sesudah,n_segmen_sesudah,kanal_segmen_gerak_valid_sesudah,salvaged_sesudah
P01,10,0,0,60,0.927,0.0,10,0,0,60,0.941,0.014
P02,12,0,0,60,1.0,0.0,12,0,0,60,1.0,0.0
P03,8,1,1,56,1.0,0.0,6,1,1,53,1.0,0.0
P04,12,0,0,60,0.972,0.0,12,0,0,60,0.984,0.012
P05,12,0,0,60,0.986,0.0,12,0,0,60,0.991,0.005
P06,7,4,1,47,0.889,0.0,12,0,0,60,0.938,0.031
P07,12,0,0,60,0.799,0.0,12,0,0,60,0.849,0.05
P08,12,0,0,59,0.748,0.0,11,0,0,59,0.846,0.095
P09,7,3,0,47,0.673,0.0,8,3,0,47,0.776,0.103
P10,8,0,0,56,1.0,0.0,6,0,1,57,1.0,0.0
P11,12,0,0,60,0.774,0.0,12,0,0,60,0.806,0.031
P12,12,0,0,60,0.969,0.0,12,0,0,60,0.991,0.023
P13,12,0,0,60,0.637,0.0,12,0,0,60,0.71,0.073
P14,9,1,0,56,0.761,0.0,9,1,0,56,0.831,0.07
P15,9,0,0,60,0.708,0.0,9,0,0,60,0.75,0.043
P16,5,3,0,49,0.866,0.0,4,3,0,52,0.921,0.04
P17,5,4,0,40,0.896,0.0,5,4,0,40,0.94,0.044
P18,0,1,8,54,0.798,0.0,1,5,1,51,0.875,0.049
P19,4,4,2,50,0.725,0.0,4,3,1,51,0.821,0.067
P20,11,0,0,60,0.811,0.0,11,0,0,60,0.929,0.123
P21,6,1,0,56,0.947,0.0,7,1,0,56,0.964,0.019
P22,3,3,0,48,0.956,0.0,3,3,0,48,0.968,0.012
P23,5,5,0,35,0.84,0.0,5,6,0,31,0.871,0.043
P24,10,0,0,58,0.833,0.0,9,1,0,55,0.842,0.025
P25,10,0,0,59,0.804,0.0,11,0,0,60,0.856,0.054
P26,11,0,0,60,0.776,0.0,11,0,0,60,0.842,0.068
P27,8,4,0,42,0.594,0.0,7,5,0,38,0.757,0.171
P28,3,5,1,38,0.797,0.0,7,1,0,55,0.908,0.029
P29,12,0,0,60,0.578,0.0,11,0,0,59,0.604,0.039
P30,11,0,0,60,0.554,0.0,11,0,0,60,0.632,0.097
P31,6,3,0,47,0.775,0.0,7,3,0,48,0.85,0.06
P32,10,0,0,59,0.843,0.0,9,0,0,59,0.884,0.046
P33,11,1,0,56,0.583,0.0,8,2,0,51,0.724,0.084
P34,11,1,0,58,0.886,0.0,11,1,0,58,0.911,0.027
P35,6,5,0,39,0.459,0.0,12,0,0,60,0.733,0.01
P36,8,2,0,54,0.6,0.0,8,1,0,56,0.752,0.136
P37,9,2,0,49,0.752,0.0,8,2,0,50,0.823,0.088
P38,2,2,4,50,0.782,0.0,5,2,0,50,0.824,0.018
