participant_id,kondisi,area,cakupan,n_win,artifact_prone,is_simulated,offset_db,exponent,theta_periodic_db,mu_periodic_db,beta_periodic_db
P27,EO,frontopolar,1.0,10,True,False,33.43965015753836,0.3808862564943313,-2.0652842978148063,-0.3480277448236757,0.42347786318680736
P27,EO,frontal,1.0,8,False,False,38.398774850360994,1.5337836923383932,2.462774169359922,0.4631464499843121,0.3067067520645814
P27,EO,frontotemporal,1.0,0,True,False,,,,,
P27,EO,sentral,1.0,4,False,False,33.96873630229837,1.0795922683379002,-1.7102379888397041,-0.10830323232105377,0.5957577962742417
P27,EO,temporal,1.0,8,True,False,31.063633011358313,1.0700726949693995,-1.6908095379522492,-1.180859201520661,0.5069350065953551
P27,EO,parietal,1.0,7,False,False,31.08815498861031,1.1264477420085497,-1.5520655320975643,-1.116684977209489,0.4166435743984681
P27,EO,temporo-posterior,1.0,7,False,False,30.91755295461789,0.6225535412488573,-3.177425791484563,-0.36698752855356265,0.5540987042411806
P27,EO,oksipital,1.0,5,False,False,33.61275587536675,1.0307412108511544,-2.4907733714965867,-0.35923632607354694,0.4293017908141699
P27,EC,frontopolar,0.422,4,True,False,35.091309719201526,0.7813108953342494,1.4212024707579052,1.0281811345600702,2.605982068990272
P27,EC,frontal,0.422,4,False,False,40.0174279578284,1.8678522258506036,1.7167074424435929,1.369380011889667,1.0865818078230203
P27,EC,frontotemporal,0.422,0,True,False,,,,,
P27,EC,sentral,0.422,2,False,False,34.748438790343464,1.1624153365340586,-1.4489456408726864,0.11770717009659881,0.9425845189898346
P27,EC,temporal,0.422,4,True,False,30.86986862168096,1.0503171662862076,-1.6646278552302811,-1.056284070739504,0.4282384118252409
P27,EC,parietal,0.422,4,False,False,31.027988127176805,1.3018476147820883,-1.0947557131097128,0.38657663746020576,2.1102625018083603
P27,EC,temporo-posterior,0.422,2,False,False,35.44360058317865,1.0631917675320528,-0.5526897467372177,-0.7999514337998272,1.8307172588620022
P27,EC,oksipital,0.422,2,False,False,35.31962679275325,1.199920707545402,-0.9083360427677217,-0.4480413016182805,1.5631474577665518
