phase,ukuran,n_seg,n_partisipan,beda_nonpenari_minus_penari_db,se,p,p_fdr
NAIK,broad_db,347,38,-0.6779154993596579,1.5571556715020989,0.6633047722474688,0.7106836845508594
NAIK,mu_db,347,38,-0.7178631914346678,1.5783963998493216,0.6492492516541806,0.7106836845508594
NAIK,beta_db,347,38,-0.5522518557643186,1.5110069919488691,0.7147486780377066,0.7147486780377066
POST,broad_db,362,38,1.8443486005418261,1.6178111134366078,0.25427498821708083,0.6288094989579248
POST,mu_db,362,38,1.527154047577705,1.5931411801824007,0.33777012677393903,0.6288094989579248
POST,beta_db,362,38,1.513228491980529,1.4552844556831488,0.2984252567059896,0.6288094989579248
PRA,broad_db,397,38,1.3014871160827735,1.4740905599736058,0.37728569937475487,0.6288094989579248
PRA,mu_db,397,38,1.4533109419390324,1.5540482297636966,0.34969683074481106,0.6288094989579248
PRA,beta_db,397,38,0.9116357923222975,1.4036013298074506,0.5160167524467638,0.6936766362612728
TAHAN,broad_db,321,38,2.1935379603511826,1.2864039801329372,0.0881626530018037,0.6288094989579248
TAHAN,mu_db,321,38,2.129370225149054,1.3959353462612938,0.12715749309242083,0.6288094989579248
TAHAN,beta_db,321,38,1.5073649992518598,1.133098645093097,0.18341832184305884,0.6288094989579248
TURUN,broad_db,366,38,1.7850255181311299,1.8133512024905654,0.3249290165765132,0.6288094989579248
TURUN,mu_db,366,38,1.3489359428504852,1.7583059715508147,0.44297491902207464,0.664462378533112
TURUN,beta_db,366,38,0.9362344092981791,1.585838220732264,0.5549413090090183,0.6936766362612728
